x,y,z,P,Sw,Sg
525,125,25,56.0369,0.2,0.0577041
575,125,25,56.1737,0.2,0.0576983
625,125,25,56.5132,0.2,0.0576605
675,125,25,58.7742,0.2,0.0575441
725,125,25,61.2072,0.2,0.0574121
775,125,25,63.8012,0.2,0.057271
825,125,25,66.1423,0.2,0.0571413
875,125,25,68.1888,0.2,0.0570277
925,125,25,69.6472,0.2,0.0569466
975,125,25,70.3746,0.2,0.0569058
25,175,25,80.875,0.2,0.056314
75,175,25,79.852,0.2,0.056371
125,175,25,77.9369,0.2,0.0564772
175,175,25,75.4101,0.2,0.0566177
225,175,25,72.3338,0.2,0.0567888
275,175,25,69.9293,0.2,0.056909
325,175,25,64.3401,0.2,0.0572154
375,175,25,58.9891,0.2,0.0575111
425,175,25,54.0827,0.2,0.0577448
475,175,25,54.0832,0.2,0.0578105
525,175,25,52.3413,0.2,0.0578564
575,175,25,53.3867,0.2,0.0578451
625,175,25,53.0448,0.2,0.0577977
675,175,25,56.3648,0.2,0.0576644
725,175,25,59.2476,0.2,0.0575062
775,175,25,62.6888,0.2,0.0573283
825,175,25,65.5688,0.2,0.0571726
875,175,25,67.7903,0.2,0.05705
925,175,25,69.3371,0.2,0.0569642
975,175,25,70.0151,0.2,0.0569262
25,225,25,80.8864,0.2,0.0563134
75,225,25,80.0724,0.2,0.0563587
125,225,25,78.2279,0.2,0.0564611
175,225,25,75.5764,0.2,0.0566082
225,225,25,72.4144,0.2,0.0567844
275,225,25,69.4819,0.2,0.0569449
325,225,25,63.6171,0.2,0.0572526
375,225,25,58.2506,0.2,0.0575513
425,225,25,53.4872,0.2,0.0578143
475,225,25,52.935,0.2,0.057896
525,225,25,51.6886,0.2,0.0579563
575,225,25,52.5155,0.2,0.0579206
625,225,25,52.4457,0.2,0.0578949
675,225,25,55.0419,0.2,0.0577578
725,225,25,57.3579,0.2,0.0575934
775,225,25,61.681,0.2,0.0573805
825,225,25,64.9966,0.2,0.0572035
875,225,25,67.4473,0.2,0.0570691
925,225,25,69.108,0.2,0.0569769
975,225,25,69.8418,0.2,0.0569361
25,275,25,80.965,0.2,0.0563089
75,275,25,80.3548,0.2,0.056343
125,275,25,78.6619,0.2,0.0564369
175,275,25,75.9845,0.2,0.0565854
225,275,25,72.7086,0.2,0.0567675
275,275,25,69.3753,0.2,0.0569481
325,275,25,62.7432,0.2,0.057281
375,275,25,58.277,0.2,0.0575609
425,275,25,53.4476,0.2,0.0578161
475,275,25,52.3231,0.2,0.0579259
525,275,25,51.4817,0.2,0.0579743
575,275,25,52.1615,0.2,0.0579446
625,275,25,52.256,0.2,0.0579209
675,275,25,54.1652,0.2,0.0578171
725,275,25,55.7763,0.2,0.0576415
775,275,25,60.9798,0.2,0.0574154
825,275,25,64.6348,0.2,0.0572233
875,275,25,67.2067,0.2,0.0570828
925,275,25,68.8481,0.2,0.0569919
975,275,25,69.5713,0.2,0.0569514
25,325,25,81.3124,0.2,0.0562895
75,325,25,80.6754,0.2,0.0563251
125,325,25,79.281,0.2,0.0564015
175,325,25,76.2848,0.2,0.0565673
225,325,25,72.598,0.2,0.0567717
275,325,25,69.4686,0.2,0.0569494
325,325,25,64.3261,0.2,0.0572206
375,325,25,59.2443,0.2,0.0575005
425,325,25,53.9855,0.2,0.0577491
475,325,25,53.3099,0.2,0.0578679
525,325,25,51.8517,0.2,0.0579268
575,325,25,52.472,0.2,0.0579166
625,325,25,52.4953,0.2,0.0578926
675,325,25,54.1562,0.2,0.0577828
725,325,25,57.4099,0.2,0.0576002
775,325,25,61.4167,0.2,0.0573961
825,325,25,64.7018,0.2,0.0572207
875,325,25,67.1015,0.2,0.0570888
925,325,25,68.7784,0.2,0.0569955
975,325,25,69.4653,0.2,0.0569575
25,375,25,81.4882,0.2,0.0562796
75,375,25,80.8356,0.2,0.0563161
125,375,25,79.8818,0.2,0.0563681
175,375,25,76.9685,0.2,0.0565287
225,375,25,73.1933,0.2,0.0567375
275,375,25,70.2396,0.2,0.0569041
325,375,25,65.4685,0.2,0.0571625
375,375,25,60.2186,0.2,0.0574381
425,375,25,56.9429,0.2,0.057647
475,375,25,54.9581,0.2,0.0577745
525,375,25,53.7158,0.2,0.0578433
575,375,25,53.8295,0.2,0.0578422
625,375,25,54.2211,0.2,0.0578134
675,375,25,55.5864,0.2,0.0577089
725,375,25,58.58,0.2,0.0575455
775,375,25,62.192,0.2,0.0573577
825,375,25,64.9966,0.2,0.0572062
875,375,25,67.0253,0.2,0.0570934
925,375,25,68.6148,0.2,0.0570051
975,375,25,69.4037,0.2,0.056961
25,425,25,81.2938,0.2,0.0562905
75,425,25,80.8845,0.2,0.0563134
125,425,25,79.6104,0.2,0.0563844
175,425,25,77.198,0.2,0.056518
225,425,25,74.0246,0.2,0.0566941
275,425,25,70.493,0.2,0.056891
325,425,25,66.4076,0.2,0.057117
375,425,25,62.2441,0.2,0.0573485
425,425,25,58.6977,0.2,0.0575515
475,425,25,56.115,0.2,0.0577016
525,425,25,55.2261,0.2,0.057764
575,425,25,55.0792,0.2,0.057773
625,425,25,55.3244,0.2,0.0577399
675,425,25,57.204,0.2,0.057636
725,425,25,59.5879,0.2,0.0574912
775,425,25,63.061,0.2,0.0573086
825,425,25,65.3619,0.2,0.0571877
875,425,25,66.6457,0.2,0.0571131
925,425,25,68.5237,0.2,0.0570102
975,425,25,69.3684,0.2,0.056963
25,475,25,81.1804,0.2,0.0562969
75,475,25,80.899,0.2,0.0563127
125,475,25,79.5835,0.2,0.0563859
175,475,25,77.3206,0.2,0.0565115
225,475,25,74.3186,0.2,0.0566783
275,475,25,70.8186,0.2,0.0568732
325,475,25,66.9795,0.2,0.0570874
375,475,25,63.1655,0.2,0.0573021
425,475,25,59.8497,0.2,0.0574928
475,475,25,57.4363,0.2,0.057636
525,475,25,56.3334,0.2,0.0577053
575,475,25,56.1024,0.2,0.0577181
625,475,25,56.7415,0.2,0.0576753
675,475,25,58.4552,0.2,0.057573
725,475,25,60.8886,0.2,0.0574289
775,475,25,64.1477,0.2,0.0572449
825,475,25,65.6081,0.2,0.0571737
875,475,25,67.2246,0.2,0.0570827
925,475,25,68.6377,0.2,0.0570039
975,475,25,69.3921,0.2,0.0569616
25,25,35,81.2125,0.2,0.0562951
75,25,35,80.6798,0.2,0.0563247
125,25,35,79.0006,0.2,0.0564181
175,25,35,76.7007,0.2,0.0565463
225,25,35,73.9095,0.2,0.056702
275,25,35,70.8838,0.2,0.0568716
325,25,35,68.0015,0.2,0.0570348
375,25,35,65.3396,0.2,0.057186
425,25,35,62.9493,0.2,0.0573224
475,25,35,60.8715,0.2,0.0574438
525,25,35,59.9236,0.2,0.0575004
575,25,35,59.9881,0.2,0.0574942
625,25,35,61.0755,0.2,0.0574249
675,25,35,62.2272,0.2,0.0573638
725,25,35,63.5774,0.2,0.0572889
775,25,35,65.2021,0.2,0.0571963
825,25,35,66.9404,0.2,0.0570975
875,25,35,68.7512,0.2,0.0569964
925,25,35,70.0218,0.2,0.0569254
975,25,35,70.7344,0.2,0.0568855
25,75,35,81.2295,0.2,0.0562941
75,75,35,80.4428,0.2,0.056338
125,75,35,78.8017,0.2,0.0564293
175,75,35,76.4663,0.2,0.0565593
225,75,35,73.5908,0.2,0.0567195
275,75,35,70.4736,0.2,0.056894
325,75,35,67.1325,0.2,0.0570804
375,75,35,63.742,0.2,0.0572685
425,75,35,60.9693,0.2,0.0574274
475,75,35,59.4048,0.2,0.0575246
525,75,35,58.5949,0.2,0.0575724
575,75,35,58.6299,0.2,0.0575689
625,75,35,59.3968,0.2,0.0575203
675,75,35,60.8572,0.2,0.0574377
725,75,35,62.7539,0.2,0.0573311
775,75,35,64.4412,0.2,0.0572388
825,75,35,66.0709,0.2,0.0571426
875,75,35,68.415,0.2,0.0570149
925,75,35,69.8718,0.2,0.0569339
975,75,35,70.6,0.2,0.0568931
25,125,35,81.1039,0.2,0.0563012
75,125,35,80.2178,0.2,0.0563506
125,125,35,78.5223,0.2,0.0564449
175,125,35,76.1244,0.2,0.0565783
225,125,35,73.1517,0.2,0.0567436
275,125,35,69.9052,0.2,0.0569249
325,125,35,65.7192,0.2,0.0571516
375,125,35,61.2101,0.2,0.0573912
425,125,35,58.1856,0.2,0.0575708
475,125,35,56.9801,0.2,0.0576536
525,125,35,56.0927,0.2,0.057701
575,125,35,56.2654,0.2,0.0576931
625,125,35,56.8191,0.2,0.0576498
675,125,35,58.7487,0.2,0.0575461
725,125,35,61.067,0.2,0.0574184
775,125,35,63.6657,0.2,0.0572793
825,125,35,65.8826,0.2,0.0571552
875,125,35,68.1219,0.2,0.0570315
925,125,35,69.62,0.2,0.0569481
975,125,35,70.3615,0.2,0.0569066
25,175,35,81.0085,0.2,0.0563065
75,175,35,80.0909,0.2,0.0563577
125,175,35,78.3093,0.2,0.0564567
175,175,35,75.8231,0.2,0.0565949
225,175,35,72.7412,0.2,0.0567661
275,175,35,69.9468,0.2,0.0569146
325,175,35,64.6427,0.2,0.0572019
375,175,35,59.3045,0.2,0.0574883
425,175,35,54.1885,0.2,0.0577228
475,175,35,54.1324,0.2,0.0578057
