seg_id,frac_id,leaf_id,parent_id,area,cx,cy,cz,Tmf
789,88,1464,288,158.611,443.157,244.496,91.2665,0.00126889
790,88,1471,289,396.705,461.973,242.5,92.11,0.00317364
791,88,1472,289,316.679,484.634,235.094,91.8455,0.00253343
792,88,1587,308,52.8822,444.192,252.146,93.2997,0.000423058
793,88,1594,309,14.1631,453.289,250.925,93.6419,0.000113305
794,89,168,43,48.7494,171.271,147.287,27.2423,0.000389995
795,89,169,43,454.754,189.515,139.214,28.8536,0.00363803
796,89,176,44,145.334,204.058,143.399,33.4281,0.00116267
797,89,284,63,290.871,168.483,160.088,30.5796,0.00232697
798,89,285,63,332.247,187.5,156.205,33.6632,0.00265798
799,89,292,64,8.08884,201.519,151.105,35.2432,6.47107e-05
800,90,563,108,186.453,445.764,292.911,32.0918,0.00149163
801,90,570,109,415.07,456.926,289.631,42.1851,0.00332056
802,90,686,128,21.1728,448.386,302.137,28.8739,0.000169383
803,90,693,129,668.442,464.414,309.967,36.3566,0.00534753
804,90,694,129,240.55,480.442,317.797,43.8392,0.0019244
805,90,695,129,108.326,471.348,329.833,30.3814,0.000866607
806,90,696,129,492.304,484.218,334.357,37.3752,0.00393843
807,91,569,109,21.0356,498.85,270.664,43.5758,0.000168285
808,91,576,110,468.243,508.949,267.127,45.973,0.00374594
809,91,577,110,264.301,537.5,270.035,48.2808,0.00211441
810,91,578,110,108.016,516.8,277.75,43.2063,0.000864127
811,91,579,110,327.397,539.711,282.246,44.3095,0.00261918
812,91,584,111,24.5512,552.316,272.574,49.1216,0.000196409
813,91,586,111,24.991,551.323,278.944,46.8007,0.000199928
814,91,1475,290,78.5384,515.31,248.185,53.2699,0.000628308
815,91,1476,290,0.512986,525.565,249.811,53.8977,4.10389e-06
816,91,1598,310,164.977,514.448,253.619,51.2882,0.00131982
817,91,1599,310,304.136,535.339,257.591,52.3386,0.00243309
818,91,1606,311,85.5659,553.511,264.715,51.9817,0.000684527
819,92,642,121,0.0147099,99.9516,349.965,15.2397,1.17679e-07
820,92,649,122,3.06736,101.002,349.666,15.8542,2.45389e-05
821,92,773,140,104.37,46.3139,392.381,20.0965,0.000834964
822,92,777,140,45.121,47.6454,397.712,28.497,0.000360968
823,92,778,141,65.8842,71.758,372.656,18.3213,0.000527074
824,92,779,141,353.788,87.5487,362.535,20.0495,0.0028303
825,92,780,141,288.051,63.0548,380.95,20.9928,0.00230441
826,92,781,141,0.133203,75.1458,375.105,24.8593,1.06563e-06
827,92,783,141,353.638,91.415,368.794,32.1337,0.00282911
828,92,784,141,492.736,61.1285,390.942,32.4716,0.00394189
829,92,785,141,161.271,78.915,377.83,32.1337,0.00129017
830,92,786,142,43.7043,101.875,352.709,20.7577,0.000349635
831,92,790,142,156.235,103.793,359.845,32.1337,0.00124988
832,92,914,160,18.5276,48.9142,402.139,35.6307,0.00014822
833,92,921,161,22.1736,51.8808,401.36,37.4526,0.000177388
834,93,1006,176,156.854,818.885,419.091,40.6099,0.00125484
835,93,1007,176,143.908,831.244,420.579,44.0776,0.00115127
836,93,1008,176,70.9724,820.615,428.105,36.8908,0.000567779
837,93,1009,176,506.682,840.148,435.625,39.9034,0.00405346
838,93,1016,177,278.925,857.999,443.014,42.4108,0.0022314
839,93,1069,196,3.32206,849.051,450.672,35.7291,2.65765e-05
840,93,1076,197,68.6389,855.337,452.417,37.0207,0.000549111
841,94,219,51,1.14952,599.624,149.548,46.4701,9.19618e-06
842,94,226,52,92.8689,605.768,144.126,47.8821,0.000742951
843,94,349,71,157.744,591.9,160.802,47.8821,0.00126195
844,94,350,71,79.1113,570.099,187.284,48.0728,0.000632891
845,94,351,71,42.8978,577.657,178.195,48.0728,0.000343182
846,94,356,72,10.0624,601.112,151.337,49.0397,8.04995e-05
847,94,1283,252,240.567,618.258,146.385,60.2899,0.00192453
848,94,1284,252,2.27078,625.406,147.342,67.1499,1.81662e-05
849,94,1364,271,275.437,594.182,168.004,55.024,0.0022035
850,94,1365,271,108.435,572.48,194.587,55.3734,0.000867481
851,94,1366,271,605.228,585.808,185.466,60.3324,0.00484183
852,94,1371,272,497.019,606.062,160.802,60.1117,0.00397615
853,94,1373,272,8.65126,601.031,176.24,66.8528,6.92101e-05
