leaf_id,parent_id,x,y,z,P,Sw,Sg
270,61,62.5,187.5,37.5,200,0.2,0.05
271,61,87.5,187.5,37.5,200,0.2,0.05
272,62,112.5,162.5,12.5,200,0.2,0.05
273,62,137.5,162.5,12.5,200,0.2,0.05
274,62,112.5,187.5,12.5,200,0.2,0.05
275,62,137.5,187.5,12.5,200,0.2,0.05
276,62,112.5,162.5,37.5,200,0.2,0.05
277,62,137.5,162.5,37.5,200,0.2,0.05
278,62,112.5,187.5,37.5,200,0.2,0.05
279,62,137.5,187.5,37.5,200,0.2,0.05
280,63,162.5,162.5,12.5,200,0.2,0.05
281,63,187.5,162.5,12.5,200,0.2,0.05
282,63,162.5,187.5,12.5,200,0.2,0.05
283,63,187.5,187.5,12.5,200,0.2,0.05
284,63,162.5,162.5,37.5,200,0.2,0.05
285,63,187.5,162.5,37.5,200,0.2,0.05
286,63,162.5,187.5,37.5,200,0.2,0.05
287,63,187.5,187.5,37.5,200,0.2,0.05
288,64,212.5,162.5,12.5,200,0.2,0.05
289,64,237.5,162.5,12.5,200,0.2,0.05
290,64,212.5,187.5,12.5,200,0.2,0.05
291,64,237.5,187.5,12.5,200,0.2,0.05
292,64,212.5,162.5,37.5,200,0.2,0.05
293,64,237.5,162.5,37.5,200,0.2,0.05
294,64,212.5,187.5,37.5,200,0.2,0.05
295,64,237.5,187.5,37.5,200,0.2,0.05
296,65,262.5,162.5,12.5,200,0.2,0.05
297,65,287.5,162.5,12.5,199.999,0.2,0.05
298,65,262.5,187.5,12.5,200,0.2,0.05
299,65,287.5,187.5,12.5,199.999,0.2,0.0500001
300,65,262.5,162.5,37.5,200,0.2,0.05
301,65,287.5,162.5,37.5,199.998,0.2,0.0500001
302,65,262.5,187.5,37.5,200,0.2,0.05
303,65,287.5,187.5,37.5,199.997,0.2,0.0500002
304,66,312.5,162.5,12.5,199.992,0.2,0.0500004
305,66,337.5,162.5,12.5,199.902,0.2,0.0500049
306,66,312.5,187.5,12.5,199.985,0.2,0.0500007
307,66,337.5,187.5,12.5,199.896,0.2,0.0500052
308,66,312.5,162.5,37.5,199.968,0.2,0.0500016
309,66,337.5,162.5,37.5,199.623,0.2,0.0500188
310,66,312.5,187.5,37.5,199.959,0.2,0.0500021
311,66,337.5,187.5,37.5,199.569,0.2,0.0500216
312,67,362.5,162.5,12.5,199.261,0.2,0.050037
313,67,387.5,162.5,12.5,195.736,0.2,0.0502137
314,67,362.5,187.5,12.5,199.093,0.2,0.0500454
315,67,387.5,187.5,12.5,195.138,0.2,0.0502437
316,67,362.5,162.5,37.5,195.747,0.2,0.0502131
317,67,387.5,162.5,37.5,165.472,0.2,0.0517547
318,67,362.5,187.5,37.5,195.053,0.2,0.0502479
319,67,387.5,187.5,37.5,162.323,0.2,0.0519176
320,68,412.5,162.5,12.5,199.23,0.2,0.0500385
321,68,437.5,162.5,12.5,199.908,0.2,0.0500046
322,68,412.5,187.5,12.5,199.098,0.2,0.0500451
323,68,437.5,187.5,12.5,199.891,0.2,0.0500055
324,68,412.5,162.5,37.5,195.755,0.2,0.0502127
325,68,437.5,162.5,37.5,199.581,0.2,0.050021
326,68,412.5,187.5,37.5,195.117,0.2,0.0502447
327,68,437.5,187.5,37.5,199.503,0.2,0.0500249
328,69,462.5,162.5,12.5,199.902,0.2,0.0500049
329,69,487.5,162.5,12.5,199.191,0.2,0.0500405
330,69,462.5,187.5,12.5,199.889,0.2,0.0500056
331,69,487.5,187.5,12.5,199.078,0.2,0.0500461
332,69,462.5,162.5,37.5,199.564,0.2,0.0500218
333,69,487.5,162.5,37.5,195.605,0.2,0.0502202
334,69,462.5,187.5,37.5,199.507,0.2,0.0500247
335,69,487.5,187.5,37.5,195.156,0.2,0.0502428
336,70,512.5,162.5,12.5,195.529,0.2,0.050224
337,70,537.5,162.5,12.5,199.086,0.2,0.0500457
338,70,512.5,187.5,12.5,194.994,0.2,0.0502509
339,70,537.5,187.5,12.5,198.743,0.2,0.0500629
340,70,512.5,162.5,37.5,164.587,0.2,0.0518004
341,70,537.5,162.5,37.5,195.23,0.2,0.0502391
342,70,512.5,187.5,37.5,162.515,0.2,0.0519077
343,70,537.5,187.5,37.5,193.842,0.2,0.0503088
344,71,562.5,162.5,12.5,199.529,0.2,0.0500235
345,71,587.5,162.5,12.5,198.656,0.2,0.0500673
346,71,562.5,187.5,12.5,199.258,0.2,0.0500371
347,71,587.5,187.5,12.5,198.003,0.2,0.0500999
348,71,562.5,162.5,37.5,196.984,0.2,0.050151
349,71,587.5,162.5,37.5,191.067,0.2,0.0504485
350,71,562.5,187.5,37.5,195.344,0.2,0.0502333
351,71,587.5,187.5,37.5,185.828,0.2,0.0507134
352,72,612.5,162.5,12.5,195.748,0.2,0.050213
353,72,637.5,162.5,12.5,199.01,0.2,0.0500495
354,72,612.5,187.5,12.5,194.962,0.2,0.0502525
355,72,637.5,187.5,12.5,198.973,0.2,0.0500514
356,72,612.5,162.5,37.5,164.724,0.2,0.0517934
357,72,637.5,162.5,37.5,195.551,0.2,0.0502229
358,72,612.5,187.5,37.5,160.338,0.2,0.0520205
359,72,637.5,187.5,37.5,194.82,0.2,0.0502596
360,73,675,175,25,199.891,0.2,0.0500054
361,74,725,175,25,199.998,0.2,0.0500001
362,75,775,175,25,200,0.2,0.05
363,76,812.5,162.5,12.5,200,0.2,0.05
364,76,837.5,162.5,12.5,200,0.2,0.05
365,76,812.5,187.5,12.5,200,0.2,0.05
366,76,837.5,187.5,12.5,200,0.2,0.05
367,76,812.5,162.5,37.5,200,0.2,0.05
368,76,837.5,162.5,37.5,200,0.2,0.05
369,76,812.5,187.5,37.5,200,0.2,0.05
370,76,837.5,187.5,37.5,200,0.2,0.05
371,77,862.5,162.5,12.5,200,0.2,0.05
372,77,887.5,162.5,12.5,200,0.2,0.05
373,77,862.5,187.5,12.5,200,0.2,0.05
374,77,887.5,187.5,12.5,200,0.2,0.05
375,77,862.5,162.5,37.5,200,0.2,0.05
376,77,887.5,162.5,37.5,200,0.2,0.05
377,77,862.5,187.5,37.5,200,0.2,0.05
378,77,887.5,187.5,37.5,200,0.2,0.05
379,78,912.5,162.5,12.5,200,0.2,0.05
380,78,937.5,162.5,12.5,200,0.2,0.05
381,78,912.5,187.5,12.5,200,0.2,0.05
382,78,937.5,187.5,12.5,200,0.2,0.05
383,78,912.5,162.5,37.5,200,0.2,0.05
384,78,937.5,162.5,37.5,200,0.2,0.05
385,78,912.5,187.5,37.5,200,0.2,0.05
386,78,937.5,187.5,37.5,200,0.2,0.05
387,79,962.5,162.5,12.5,200,0.2,0.05
388,79,987.5,162.5,12.5,200,0.2,0.05
389,79,962.5,187.5,12.5,200,0.2,0.05
390,79,987.5,187.5,12.5,200,0.2,0.05
391,79,962.5,162.5,37.5,200,0.2,0.05
392,79,987.5,162.5,37.5,200,0.2,0.05
393,79,962.5,187.5,37.5,200,0.2,0.05
394,79,987.5,187.5,37.5,200,0.2,0.05
395,80,25,225,25,200,0.2,0.05
396,81,75,225,25,200,0.2,0.05
